overflow,init_wire_coef,init_density_coef,max_phi,bin,density
0.1,0.01,100,1.04,24,0.8,True
0.08,0.01,100,1.04,24,0.8,True
0.06,0.01,100,1.04,24,0.8,True
0.04,0.01,100,1.04,24,0.8,True
0.1,0.01,1000,1.04,24,0.8,True
0.08,0.01,1000,1.04,24,0.8,True
0.06,0.01,1000,1.04,24,0.8,True
0.04,0.01,1000,1.04,24,0.8,True
0.1,0.1,0.01,1.04,24,0.8,False
0.08,0.1,0.01,1.04,24,0.8,False
0.06,0.1,0.01,1.04,24,0.8,False
0.04,0.1,0.01,1.04,24,0.8,True
0.1,0.1,0.1,1.04,24,0.8,False
0.08,0.1,0.1,1.04,24,0.8,False
0.06,0.1,0.1,1.04,24,0.8,False
0.04,0.1,0.1,1.04,24,0.8,False
0.1,0.1,1,1.04,24,0.8,False
0.08,0.1,1,1.04,24,0.8,False
0.06,0.1,1,1.04,24,0.8,False
0.04,0.1,1,1.04,24,0.8,True
0.1,0.1,10,1.04,24,0.8,True
0.08,0.1,10,1.04,24,0.8,True
0.06,0.1,10,1.04,24,0.8,True
0.04,0.1,10,1.04,24,0.8,True
0.1,0.1,100,1.04,24,0.8,True
0.08,0.1,100,1.04,24,0.8,True
0.06,0.1,100,1.04,24,0.8,True
0.04,0.1,100,1.04,24,0.8,True
0.1,0.1,1000,1.04,24,0.8,True
0.08,0.1,1000,1.04,24,0.8,True
0.06,0.1,1000,1.04,24,0.8,True
0.04,0.1,1000,1.04,24,0.8,True
0.1,1,0.01,1.04,24,0.8,True
0.08,1,0.01,1.04,24,0.8,True
0.06,1,0.01,1.04,24,0.8,True
0.04,1,0.01,1.04,24,0.8,True
0.1,1,0.1,1.04,24,0.8,False
0.08,1,0.1,1.04,24,0.8,False
0.06,1,0.1,1.04,24,0.8,False
0.04,1,0.1,1.04,24,0.8,False
0.1,1,1,1.04,24,0.8,False
0.08,1,1,1.04,24,0.8,False
0.06,1,1,1.04,24,0.8,False
0.04,1,1,1.04,24,0.8,False
0.1,1,10,1.04,24,0.8,False
0.08,1,10,1.04,24,0.8,False
0.06,1,10,1.04,24,0.8,False
0.04,1,10,1.04,24,0.8,False
0.1,1,100,1.04,24,0.8,False
0.08,1,100,1.04,24,0.8,False
0.06,1,100,1.04,24,0.8,False
0.04,1,100,1.04,24,0.8,False
0.1,1,1000,1.04,24,0.8,True
0.08,1,1000,1.04,24,0.8,True
0.06,1,1000,1.04,24,0.8,True
0.04,1,1000,1.04,24,0.8,True
0.1,10,0.01,1.04,24,0.8,False
0.08,10,0.01,1.04,24,0.8,False
0.06,10,0.01,1.04,24,0.8,False
0.04,10,0.01,1.04,24,0.8,False
0.1,10,0.1,1.04,24,0.8,False
0.08,10,0.1,1.04,24,0.8,False
0.06,10,0.1,1.04,24,0.8,False
0.04,10,0.1,1.04,24,0.8,False
0.1,10,1,1.04,24,0.8,False
0.08,10,1,1.04,24,0.8,False
0.06,10,1,1.04,24,0.8,False
0.04,10,1,1.04,24,0.8,False
0.1,10,10,1.04,24,0.8,False
0.08,10,10,1.04,24,0.8,False
0.06,10,10,1.04,24,0.8,False
0.04,10,10,1.04,24,0.8,False
0.1,10,100,1.04,24,0.8,False
0.08,10,100,1.04,24,0.8,False
0.06,10,100,1.04,24,0.8,False
0.04,10,100,1.04,24,0.8,False
0.1,10,1000,1.04,24,0.8,True
0.08,10,1000,1.04,24,0.8,True
0.06,10,1000,1.04,24,0.8,True
0.04,10,1000,1.04,24,0.8,True
0.1,100,0.01,1.04,24,0.8,True
0.08,100,0.01,1.04,24,0.8,True
0.06,100,0.01,1.04,24,0.8,True
0.04,100,0.01,1.04,24,0.8,True
0.1,100,0.1,1.04,24,0.8,False
0.08,100,0.1,1.04,24,0.8,False
0.06,100,0.1,1.04,24,0.8,False
0.04,100,0.1,1.04,24,0.8,False
0.1,100,1,1.04,24,0.8,False
0.08,100,1,1.04,24,0.8,False
0.06,100,1,1.04,24,0.8,False
0.04,100,1,1.04,24,0.8,False
0.1,100,10,1.04,24,0.8,False
0.08,100,10,1.04,24,0.8,False
0.06,100,10,1.04,24,0.8,True
0.04,100,10,1.04,24,0.8,True
0.1,100,100,1.04,24,0.8,False
0.08,100,100,1.04,24,0.8,False
0.06,100,100,1.04,24,0.8,False
0.04,100,100,1.04,24,0.8,False
0.1,100,1000,1.04,24,0.8,True
0.08,100,1000,1.04,24,0.8,True
0.06,100,1000,1.04,24,0.8,True
0.04,100,1000,1.04,24,0.8,True
0.1,1000,0.01,1.04,24,0.8,True
0.08,1000,0.01,1.04,24,0.8,True
0.06,1000,0.01,1.04,24,0.8,True
0.04,1000,0.01,1.04,24,0.8,True
0.1,1000,0.1,1.04,24,0.8,False
0.08,1000,0.1,1.04,24,0.8,False
0.06,1000,0.1,1.04,24,0.8,False
0.04,1000,0.1,1.04,24,0.8,False
0.1,1000,1,1.04,24,0.8,False
0.08,1000,1,1.04,24,0.8,False
0.06,1000,1,1.04,24,0.8,False
0.04,1000,1,1.04,24,0.8,False
0.1,1000,10,1.04,24,0.8,False
0.08,1000,10,1.04,24,0.8,False
0.06,1000,10,1.04,24,0.8,False
0.04,1000,10,1.04,24,0.8,False
0.1,1000,100,1.04,24,0.8,False
0.08,1000,100,1.04,24,0.8,False
0.06,1000,100,1.04,24,0.8,False
0.04,1000,100,1.04,24,0.8,False
0.1,1000,1000,1.04,24,0.8,True
0.08,1000,1000,1.04,24,0.8,True
0.06,1000,1000,1.04,24,0.8,True
0.04,1000,1000,1.04,24,0.8,True
0.1,0.01,0.01,1.03,24,0.8,False
0.08,0.01,0.01,1.03,24,0.8,False
0.06,0.01,0.01,1.03,24,0.8,True
0.04,0.01,0.01,1.03,24,0.8,True
0.1,0.01,0.1,1.03,24,0.8,False
0.08,0.01,0.1,1.03,24,0.8,False
0.06,0.01,0.1,1.03,24,0.8,False
0.04,0.01,0.1,1.03,24,0.8,True
0.1,0.01,1,1.03,24,0.8,False
0.08,0.01,1,1.03,24,0.8,False
0.06,0.01,1,1.03,24,0.8,False
0.04,0.01,1,1.03,24,0.8,False
0.1,0.01,10,1.03,24,0.8,True
0.08,0.01,10,1.03,24,0.8,True
0.06,0.01,10,1.03,24,0.8,True
0.04,0.01,10,1.03,24,0.8,True
0.1,0.01,100,1.03,24,0.8,True
0.08,0.01,100,1.03,24,0.8,True
0.06,0.01,100,1.03,24,0.8,True
0.04,0.01,100,1.03,24,0.8,True
0.1,0.01,1000,1.03,24,0.8,True
0.08,0.01,1000,1.03,24,0.8,True
0.06,0.01,1000,1.03,24,0.8,True
0.04,0.01,1000,1.03,24,0.8,True
0.1,0.1,0.01,1.03,24,0.8,False
0.08,0.1,0.01,1.03,24,0.8,False
0.06,0.1,0.01,1.03,24,0.8,False
0.04,0.1,0.01,1.03,24,0.8,False
0.1,0.1,0.1,1.03,24,0.8,False
0.08,0.1,0.1,1.03,24,0.8,False
0.06,0.1,0.1,1.03,24,0.8,False
0.04,0.1,0.1,1.03,24,0.8,False
0.1,0.1,1,1.03,24,0.8,False
0.08,0.1,1,1.03,24,0.8,False
0.06,0.1,1,1.03,24,0.8,False
0.04,0.1,1,1.03,24,0.8,False
0.1,0.1,10,1.03,24,0.8,True
0.08,0.1,10,1.03,24,0.8,True
0.06,0.1,10,1.03,24,0.8,True
0.04,0.1,10,1.03,24,0.8,True
0.1,0.1,100,1.03,24,0.8,True
0.08,0.1,100,1.03,24,0.8,True
0.06,0.1,100,1.03,24,0.8,True
0.04,0.1,100,1.03,24,0.8,True
0.1,0.1,1000,1.03,24,0.8,True
0.08,0.1,1000,1.03,24,0.8,True
0.06,0.1,1000,1.03,24,0.8,True
0.04,0.1,1000,1.03,24,0.8,True
0.1,1,0.01,1.03,24,0.8,False
0.08,1,0.01,1.03,24,0.8,False
0.06,1,0.01,1.03,24,0.8,False
0.04,1,0.01,1.03,24,0.8,False
0.1,1,0.1,1.03,24,0.8,False
0.08,1,0.1,1.03,24,0.8,False
0.06,1,0.1,1.03,24,0.8,True
0.04,1,0.1,1.03,24,0.8,True
0.1,1,1,1.03,24,0.8,False
0.08,1,1,1.03,24,0.8,False
0.06,1,1,1.03,24,0.8,False
0.04,1,1,1.03,24,0.8,False
0.1,1,10,1.03,24,0.8,False
0.08,1,10,1.03,24,0.8,False
0.06,1,10,1.03,24,0.8,False
0.04,1,10,1.03,24,0.8,False
0.1,1,100,1.03,24,0.8,False
0.08,1,100,1.03,24,0.8,False
0.06,1,100,1.03,24,0.8,False
0.04,1,100,1.03,24,0.8,False
0.1,1,1000,1.03,24,0.8,False
0.08,1,1000,1.03,24,0.8,False
0.06,1,1000,1.03,24,0.8,False
0.04,1,1000,1.03,24,0.8,False
0.1,10,0.01,1.03,24,0.8,False
0.08,10,0.01,1.03,24,0.8,False
0.06,10,0.01,1.03,24,0.8,False
0.04,10,0.01,1.03,24,0.8,False
0.1,10,0.1,1.03,24,0.8,False
0.08,10,0.1,1.03,24,0.8,False
0.06,10,0.1,1.03,24,0.8,False
0.04,10,0.1,1.03,24,0.8,False
0.1,10,1,1.03,24,0.8,False
0.08,10,1,1.03,24,0.8,False
0.06,10,1,1.03,24,0.8,False
0.04,10,1,1.03,24,0.8,True
0.1,10,10,1.03,24,0.8,False
0.08,10,10,1.03,24,0.8,False
0.06,10,10,1.03,24,0.8,False
0.04,10,10,1.03,24,0.8,False
0.1,10,100,1.03,24,0.8,False
0.08,10,100,1.03,24,0.8,False
0.06,10,100,1.03,24,0.8,False
0.04,10,100,1.03,24,0.8,False
0.1,10,1000,1.03,24,0.8,True
0.08,10,1000,1.03,24,0.8,True
0.06,10,1000,1.03,24,0.8,True
0.04,10,1000,1.03,24,0.8,True
0.1,100,0.01,1.03,24,0.8,False
0.08,100,0.01,1.03,24,0.8,False
0.06,100,0.01,1.03,24,0.8,False
0.04,100,0.01,1.03,24,0.8,False
0.1,100,0.1,1.03,24,0.8,False
0.08,100,0.1,1.03,24,0.8,False
0.06,100,0.1,1.03,24,0.8,False
0.04,100,0.1,1.03,24,0.8,False
0.1,100,1,1.03,24,0.8,False
0.08,100,1,1.03,24,0.8,False
0.06,100,1,1.03,24,0.8,False
0.04,100,1,1.03,24,0.8,False
0.1,100,10,1.03,24,0.8,False
0.08,100,10,1.03,24,0.8,False
0.06,100,10,1.03,24,0.8,False
0.04,100,10,1.03,24,0.8,False
0.1,100,100,1.03,24,0.8,False
0.08,100,100,1.03,24,0.8,False
0.06,100,100,1.03,24,0.8,False
0.04,100,100,1.03,24,0.8,False
0.1,100,1000,1.03,24,0.8,True
0.08,100,1000,1.03,24,0.8,True
0.06,100,1000,1.03,24,0.8,True
0.04,100,1000,1.03,24,0.8,True
0.1,1000,0.01,1.03,24,0.8,True
0.08,1000,0.01,1.03,24,0.8,True
0.06,1000,0.01,1.03,24,0.8,True
0.04,1000,0.01,1.03,24,0.8,True
0.1,1000,0.1,1.03,24,0.8,False
0.08,1000,0.1,1.03,24,0.8,False
0.06,1000,0.1,1.03,24,0.8,False
0.04,1000,0.1,1.03,24,0.8,False
0.1,1000,1,1.03,24,0.8,False
0.08,1000,1,1.03,24,0.8,False
0.06,1000,1,1.03,24,0.8,False
0.04,1000,1,1.03,24,0.8,False
0.1,1000,10,1.03,24,0.8,True
0.08,1000,10,1.03,24,0.8,True
0.06,1000,10,1.03,24,0.8,True
0.04,1000,10,1.03,24,0.8,True
0.1,1000,100,1.03,24,0.8,True
0.08,1000,100,1.03,24,0.8,True
0.06,1000,100,1.03,24,0.8,True
0.04,1000,100,1.03,24,0.8,True
0.1,1000,1000,1.03,24,0.8,False
0.08,1000,1000,1.03,24,0.8,False
0.06,1000,1000,1.03,24,0.8,False
0.04,1000,1000,1.03,24,0.8,False
0.1,0.01,0.01,1.02,24,0.8,False
0.08,0.01,0.01,1.02,24,0.8,False
0.06,0.01,0.01,1.02,24,0.8,False
0.04,0.01,0.01,1.02,24,0.8,True
0.1,0.01,0.1,1.02,24,0.8,True
0.08,0.01,0.1,1.02,24,0.8,True
0.06,0.01,0.1,1.02,24,0.8,True
0.04,0.01,0.1,1.02,24,0.8,True
0.1,0.01,1,1.02,24,0.8,False
0.08,0.01,1,1.02,24,0.8,False
0.06,0.01,1,1.02,24,0.8,False
0.04,0.01,1,1.02,24,0.8,True
0.1,0.01,10,1.02,24,0.8,True
0.08,0.01,10,1.02,24,0.8,True
0.06,0.01,10,1.02,24,0.8,True
0.04,0.01,10,1.02,24,0.8,True
0.1,0.01,100,1.02,24,0.8,True
0.08,0.01,100,1.02,24,0.8,True
0.06,0.01,100,1.02,24,0.8,True
0.04,0.01,100,1.02,24,0.8,True
0.1,0.01,1000,1.02,24,0.8,True
0.08,0.01,1000,1.02,24,0.8,True
0.06,0.01,1000,1.02,24,0.8,True
0.04,0.01,1000,1.02,24,0.8,True
0.1,0.1,0.01,1.02,24,0.8,False
0.08,0.1,0.01,1.02,24,0.8,False
0.06,0.1,0.01,1.02,24,0.8,False
0.04,0.1,0.01,1.02,24,0.8,True
0.1,0.1,0.1,1.02,24,0.8,False
0.08,0.1,0.1,1.02,24,0.8,False
0.06,0.1,0.1,1.02,24,0.8,False
0.04,0.1,0.1,1.02,24,0.8,False
0.1,0.1,1,1.02,24,0.8,False
0.08,0.1,1,1.02,24,0.8,False
0.06,0.1,1,1.02,24,0.8,False
0.04,0.1,1,1.02,24,0.8,False
0.1,0.1,10,1.02,24,0.8,True
0.08,0.1,10,1.02,24,0.8,True
0.06,0.1,10,1.02,24,0.8,True
0.04,0.1,10,1.02,24,0.8,True
0.1,0.1,100,1.02,24,0.8,True
0.08,0.1,100,1.02,24,0.8,True
0.06,0.1,100,1.02,24,0.8,True
0.04,0.1,100,1.02,24,0.8,True
0.1,0.1,1000,1.02,24,0.8,True
0.08,0.1,1000,1.02,24,0.8,True
0.06,0.1,1000,1.02,24,0.8,True
0.04,0.1,1000,1.02,24,0.8,True
0.1,1,0.01,1.02,24,0.8,False
0.08,1,0.01,1.02,24,0.8,False
0.06,1,0.01,1.02,24,0.8,False
0.04,1,0.01,1.02,24,0.8,False
0.1,1,0.1,1.02,24,0.8,False
0.08,1,0.1,1.02,24,0.8,True
0.06,1,0.1,1.02,24,0.8,True
0.04,1,0.1,1.02,24,0.8,True
0.1,1,1,1.02,24,0.8,False
0.08,1,1,1.02,24,0.8,False
0.06,1,1,1.02,24,0.8,False
0.04,1,1,1.02,24,0.8,False
0.1,1,10,1.02,24,0.8,False
0.08,1,10,1.02,24,0.8,False
0.06,1,10,1.02,24,0.8,False
0.04,1,10,1.02,24,0.8,False
0.1,1,100,1.02,24,0.8,False
0.08,1,100,1.02,24,0.8,False
0.06,1,100,1.02,24,0.8,False
0.04,1,100,1.02,24,0.8,False
0.1,1,1000,1.02,24,0.8,True
0.08,1,1000,1.02,24,0.8,True
0.06,1,1000,1.02,24,0.8,True
0.04,1,1000,1.02,24,0.8,True
0.1,10,0.01,1.02,24,0.8,False
0.08,10,0.01,1.02,24,0.8,False
0.06,10,0.01,1.02,24,0.8,False
0.04,10,0.01,1.02,24,0.8,False
0.1,10,0.1,1.02,24,0.8,False
0.08,10,0.1,1.02,24,0.8,False
0.06,10,0.1,1.02,24,0.8,False
0.04,10,0.1,1.02,24,0.8,True
0.1,10,1,1.02,24,0.8,False
0.08,10,1,1.02,24,0.8,False
0.06,10,1,1.02,24,0.8,False
0.04,10,1,1.02,24,0.8,False
0.1,10,10,1.02,24,0.8,False
0.08,10,10,1.02,24,0.8,False
0.06,10,10,1.02,24,0.8,False
0.04,10,10,1.02,24,0.8,True
0.1,10,100,1.02,24,0.8,False
0.08,10,100,1.02,24,0.8,False
0.06,10,100,1.02,24,0.8,False
0.04,10,100,1.02,24,0.8,False
0.1,10,1000,1.02,24,0.8,False
0.08,10,1000,1.02,24,0.8,False
0.06,10,1000,1.02,24,0.8,True
0.04,10,1000,1.02,24,0.8,True
0.1,100,0.01,1.02,24,0.8,False
0.08,100,0.01,1.02,24,0.8,False
0.06,100,0.01,1.02,24,0.8,False
0.04,100,0.01,1.02,24,0.8,True
0.1,100,0.1,1.02,24,0.8,False
0.08,100,0.1,1.02,24,0.8,False
0.06,100,0.1,1.02,24,0.8,False
0.04,100,0.1,1.02,24,0.8,True
0.1,100,1,1.02,24,0.8,True
0.08,100,1,1.02,24,0.8,True
0.06,100,1,1.02,24,0.8,True
0.04,100,1,1.02,24,0.8,True
0.1,100,10,1.02,24,0.8,False
0.08,100,10,1.02,24,0.8,False
0.06,100,10,1.02,24,0.8,False
0.04,100,10,1.02,24,0.8,False
0.1,100,100,1.02,24,0.8,False
0.08,100,100,1.02,24,0.8,False
0.06,100,100,1.02,24,0.8,True
0.04,100,100,1.02,24,0.8,True
0.1,100,1000,1.02,24,0.8,False
0.08,100,1000,1.02,24,0.8,False
0.06,100,1000,1.02,24,0.8,False
0.04,100,1000,1.02,24,0.8,False
0.1,1000,0.01,1.02,24,0.8,False
0.08,1000,0.01,1.02,24,0.8,False
0.06,1000,0.01,1.02,24,0.8,False
0.04,1000,0.01,1.02,24,0.8,False
0.1,1000,0.1,1.02,24,0.8,False
0.08,1000,0.1,1.02,24,0.8,False
0.06,1000,0.1,1.02,24,0.8,True
0.04,1000,0.1,1.02,24,0.8,True
0.1,1000,1,1.02,24,0.8,False
0.08,1000,1,1.02,24,0.8,False
0.06,1000,1,1.02,24,0.8,False
0.04,1000,1,1.02,24,0.8,False
0.1,1000,10,1.02,24,0.8,False
0.08,1000,10,1.02,24,0.8,False
0.06,1000,10,1.02,24,0.8,False
0.04,1000,10,1.02,24,0.8,False
0.1,1000,100,1.02,24,0.8,False
0.08,1000,100,1.02,24,0.8,False
0.06,1000,100,1.02,24,0.8,False
0.04,1000,100,1.02,24,0.8,False
0.1,1000,1000,1.02,24,0.8,False
0.08,1000,1000,1.02,24,0.8,False
0.06,1000,1000,1.02,24,0.8,False
0.04,1000,1000,1.02,24,0.8,False
0.1,0.01,0.01,1.01,24,0.8,False
0.08,0.01,0.01,1.01,24,0.8,False
0.06,0.01,0.01,1.01,24,0.8,False
0.04,0.01,0.01,1.01,24,0.8,False
0.1,0.01,0.1,1.01,24,0.8,False
0.08,0.01,0.1,1.01,24,0.8,False
0.06,0.01,0.1,1.01,24,0.8,False
0.04,0.01,0.1,1.01,24,0.8,False
0.1,0.01,1,1.01,24,0.8,False
0.08,0.01,1,1.01,24,0.8,False
0.06,0.01,1,1.01,24,0.8,False
0.04,0.01,1,1.01,24,0.8,False
0.1,0.01,10,1.01,24,0.8,False
0.08,0.01,10,1.01,24,0.8,False
0.06,0.01,10,1.01,24,0.8,False
0.04,0.01,10,1.01,24,0.8,False
0.1,0.01,100,1.01,24,0.8,False
0.08,0.01,100,1.01,24,0.8,False
0.06,0.01,100,1.01,24,0.8,False
0.04,0.01,100,1.01,24,0.8,False
0.1,0.01,1000,1.01,24,0.8,False
0.08,0.01,1000,1.01,24,0.8,False
0.06,0.01,1000,1.01,24,0.8,False
0.04,0.01,1000,1.01,24,0.8,False
0.1,0.1,0.01,1.01,24,0.8,False
0.08,0.1,0.01,1.01,24,0.8,False
0.06,0.1,0.01,1.01,24,0.8,False
0.04,0.1,0.01,1.01,24,0.8,False
0.1,0.1,0.1,1.01,24,0.8,False
0.08,0.1,0.1,1.01,24,0.8,False
0.06,0.1,0.1,1.01,24,0.8,False
0.04,0.1,0.1,1.01,24,0.8,False
0.1,0.1,1,1.01,24,0.8,False
0.08,0.1,1,1.01,24,0.8,False
0.06,0.1,1,1.01,24,0.8,False
0.04,0.1,1,1.01,24,0.8,False
0.1,0.1,10,1.01,24,0.8,True
0.08,0.1,10,1.01,24,0.8,True
0.06,0.1,10,1.01,24,0.8,True
0.04,0.1,10,1.01,24,0.8,True
0.1,0.1,100,1.01,24,0.8,True
0.08,0.1,100,1.01,24,0.8,True
0.06,0.1,100,1.01,24,0.8,True
0.04,0.1,100,1.01,24,0.8,True
0.1,0.1,1000,1.01,24,0.8,False
0.08,0.1,1000,1.01,24,0.8,False
0.06,0.1,1000,1.01,24,0.8,False
0.04,0.1,1000,1.01,24,0.8,False
0.1,1,0.01,1.01,24,0.8,False
0.08,1,0.01,1.01,24,0.8,False
0.06,1,0.01,1.01,24,0.8,False
0.04,1,0.01,1.01,24,0.8,False
0.1,1,0.1,1.01,24,0.8,False
0.08,1,0.1,1.01,24,0.8,False
0.06,1,0.1,1.01,24,0.8,False
0.04,1,0.1,1.01,24,0.8,False
0.1,1,1,1.01,24,0.8,False
0.08,1,1,1.01,24,0.8,False
0.06,1,1,1.01,24,0.8,False
0.04,1,1,1.01,24,0.8,False
0.1,1,10,1.01,24,0.8,False
0.08,1,10,1.01,24,0.8,False
0.06,1,10,1.01,24,0.8,False
0.04,1,10,1.01,24,0.8,False
0.1,1,100,1.01,24,0.8,False
0.08,1,100,1.01,24,0.8,False
0.06,1,100,1.01,24,0.8,False
0.04,1,100,1.01,24,0.8,False
0.1,1,1000,1.01,24,0.8,False
0.08,1,1000,1.01,24,0.8,False
0.06,1,1000,1.01,24,0.8,False
0.04,1,1000,1.01,24,0.8,False
0.1,10,0.01,1.01,24,0.8,False
0.08,10,0.01,1.01,24,0.8,False
0.06,10,0.01,1.01,24,0.8,False
0.04,10,0.01,1.01,24,0.8,False
0.1,10,0.1,1.01,24,0.8,False
0.08,10,0.1,1.01,24,0.8,False
0.06,10,0.1,1.01,24,0.8,False
0.04,10,0.1,1.01,24,0.8,False
0.1,10,1,1.01,24,0.8,False
0.08,10,1,1.01,24,0.8,False
0.06,10,1,1.01,24,0.8,False
0.04,10,1,1.01,24,0.8,False
0.1,10,10,1.01,24,0.8,False
0.08,10,10,1.01,24,0.8,False
0.06,10,10,1.01,24,0.8,False
0.04,10,10,1.01,24,0.8,False
0.1,10,100,1.01,24,0.8,False
0.08,10,100,1.01,24,0.8,False
0.06,10,100,1.01,24,0.8,False
0.04,10,100,1.01,24,0.8,False
0.1,10,1000,1.01,24,0.8,False
0.08,10,1000,1.01,24,0.8,False
0.06,10,1000,1.01,24,0.8,False
0.04,10,1000,1.01,24,0.8,False
0.1,100,0.01,1.01,24,0.8,False
0.08,100,0.01,1.01,24,0.8,False
0.06,100,0.01,1.01,24,0.8,False
0.04,100,0.01,1.01,24,0.8,False
0.1,100,0.1,1.01,24,0.8,False
0.08,100,0.1,1.01,24,0.8,False
0.06,100,0.1,1.01,24,0.8,False
0.04,100,0.1,1.01,24,0.8,False
0.1,100,1,1.01,24,0.8,False
0.08,100,1,1.01,24,0.8,False
0.06,100,1,1.01,24,0.8,False
0.04,100,1,1.01,24,0.8,False
0.1,100,10,1.01,24,0.8,False
0.08,100,10,1.01,24,0.8,False
0.06,100,10,1.01,24,0.8,False
0.04,100,10,1.01,24,0.8,False
0.1,100,100,1.01,24,0.8,False
0.08,100,100,1.01,24,0.8,False
0.06,100,100,1.01,24,0.8,False
0.04,100,100,1.01,24,0.8,False
0.1,100,1000,1.01,24,0.8,False
0.08,100,1000,1.01,24,0.8,False
0.06,100,1000,1.01,24,0.8,False
0.04,100,1000,1.01,24,0.8,False
0.1,1000,0.01,1.01,24,0.8,False
0.08,1000,0.01,1.01,24,0.8,False
0.06,1000,0.01,1.01,24,0.8,False
0.04,1000,0.01,1.01,24,0.8,False
0.1,1000,0.1,1.01,24,0.8,False
0.08,1000,0.1,1.01,24,0.8,False
0.06,1000,0.1,1.01,24,0.8,False
0.04,1000,0.1,1.01,24,0.8,False
0.1,1000,1,1.01,24,0.8,False
0.08,1000,1,1.01,24,0.8,False
0.06,1000,1,1.01,24,0.8,False
0.04,1000,1,1.01,24,0.8,False
0.1,1000,10,1.01,24,0.8,True
0.08,1000,10,1.01,24,0.8,True
0.06,1000,10,1.01,24,0.8,True
0.04,1000,10,1.01,24,0.8,True
0.1,1000,100,1.01,24,0.8,True
0.08,1000,100,1.01,24,0.8,True
0.06,1000,100,1.01,24,0.8,True
0.04,1000,100,1.01,24,0.8,True
0.1,1000,1000,1.01,24,0.8,True
0.08,1000,1000,1.01,24,0.8,True
0.06,1000,1000,1.01,24,0.8,True
0.04,1000,1000,1.01,24,0.8,True
0.1,0.01,0.01,1.04,28,0.8,False
0.08,0.01,0.01,1.04,28,0.8,False
0.06,0.01,0.01,1.04,28,0.8,False
0.04,0.01,0.01,1.04,28,0.8,True
0.1,0.01,0.1,1.04,28,0.8,True
0.08,0.01,0.1,1.04,28,0.8,True
0.06,0.01,0.1,1.04,28,0.8,True
0.04,0.01,0.1,1.04,28,0.8,True
0.1,0.01,1,1.04,28,0.8,True
0.08,0.01,1,1.04,28,0.8,True
0.06,0.01,1,1.04,28,0.8,True
0.04,0.01,1,1.04,28,0.8,True
0.1,0.01,10,1.04,28,0.8,True
0.08,0.01,10,1.04,28,0.8,True
0.06,0.01,10,1.04,28,0.8,True
0.04,0.01,10,1.04,28,0.8,True
0.1,0.01,100,1.04,28,0.8,True
0.08,0.01,100,1.04,28,0.8,True
0.06,0.01,100,1.04,28,0.8,True
0.04,0.01,100,1.04,28,0.8,True
0.1,0.01,1000,1.04,28,0.8,True
0.08,0.01,1000,1.04,28,0.8,True
0.06,0.01,1000,1.04,28,0.8,True
0.04,0.01,1000,1.04,28,0.8,True
0.1,0.1,0.01,1.04,28,0.8,False
0.08,0.1,0.01,1.04,28,0.8,False
0.06,0.1,0.01,1.04,28,0.8,False
0.04,0.1,0.01,1.04,28,0.8,False
0.1,0.1,0.1,1.04,28,0.8,False
0.08,0.1,0.1,1.04,28,0.8,False
0.06,0.1,0.1,1.04,28,0.8,False
0.04,0.1,0.1,1.04,28,0.8,False
0.1,0.1,1,1.04,28,0.8,False
0.08,0.1,1,1.04,28,0.8,False
0.06,0.1,1,1.04,28,0.8,False
0.04,0.1,1,1.04,28,0.8,False
0.1,0.1,10,1.04,28,0.8,False
0.08,0.1,10,1.04,28,0.8,False
0.06,0.1,10,1.04,28,0.8,True
0.04,0.1,10,1.04,28,0.8,True
0.1,0.1,100,1.04,28,0.8,False
0.08,0.1,100,1.04,28,0.8,False
0.06,0.1,100,1.04,28,0.8,False
0.04,0.1,100,1.04,28,0.8,False
0.1,0.1,1000,1.04,28,0.8,True
0.08,0.1,1000,1.04,28,0.8,True
0.06,0.1,1000,1.04,28,0.8,True
0.04,0.1,1000,1.04,28,0.8,True
0.1,1,0.01,1.04,28,0.8,False
0.08,1,0.01,1.04,28,0.8,False
0.06,1,0.01,1.04,28,0.8,False
0.04,1,0.01,1.04,28,0.8,False
0.1,1,0.1,1.04,28,0.8,False
0.08,1,0.1,1.04,28,0.8,False
0.06,1,0.1,1.04,28,0.8,False
0.04,1,0.1,1.04,28,0.8,False
0.1,1,1,1.04,28,0.8,False
0.08,1,1,1.04,28,0.8,False
0.06,1,1,1.04,28,0.8,False
0.04,1,1,1.04,28,0.8,False
0.1,1,10,1.04,28,0.8,False
0.08,1,10,1.04,28,0.8,False
0.06,1,10,1.04,28,0.8,False
0.04,1,10,1.04,28,0.8,False
0.1,1,100,1.04,28,0.8,False
0.08,1,100,1.04,28,0.8,False
0.06,1,100,1.04,28,0.8,False
0.04,1,100,1.04,28,0.8,False
0.1,1,1000,1.04,28,0.8,True
0.08,1,1000,1.04,28,0.8,True
0.06,1,1000,1.04,28,0.8,True
0.04,1,1000,1.04,28,0.8,True
0.1,10,0.01,1.04,28,0.8,False
0.08,10,0.01,1.04,28,0.8,False
0.06,10,0.01,1.04,28,0.8,False
0.04,10,0.01,1.04,28,0.8,False
0.1,10,0.1,1.04,28,0.8,False
0.08,10,0.1,1.04,28,0.8,False
0.06,10,0.1,1.04,28,0.8,False
0.04,10,0.1,1.04,28,0.8,False
0.1,10,1,1.04,28,0.8,False
0.08,10,1,1.04,28,0.8,False
0.06,10,1,1.04,28,0.8,False
0.04,10,1,1.04,28,0.8,False
